%time x_sig v_sig adc_sig k_sig
0 -8e-06 0 0 10
1e-05 -7.49866706574e-06 0.0501332934257 15 10
2e-05 -7.00524045134e-06 0.0493426614402 15 10
3e-05 -6.52750178926e-06 0.0477738662079 15 10
4e-05 -6.07298530359e-06 0.0454516485668 15 10
5e-05 -5.64885899083e-06 0.0424126312763 15 10
6e-05 -5.26181157629e-06 0.0387047414545 15 10
7e-05 -4.9179470289e-06 0.0343864547388 15 10
8e-05 -4.62268829799e-06 0.0295258730905 15 10
9e-05 -4.38069179014e-06 0.0241996507856 15 10
0.0001 -4.19577393482e-06 0.0184917855317 15 10
0.00011 -4.07085099709e-06 0.0124922937734 15 10
0.00012 -4.00789308629e-06 0.00629579107983 15 10
0.00013 -4.00789308629e-06 0 0 10
0.00014 -4.07085099709e-06 -0.00629579107983 -15 10
0.00015 -4.19577393482e-06 -0.0124922937734 -15 10
0.00016 -4.38069179014e-06 -0.0184917855317 -15 10
0.00017 -4.62268829799e-06 -0.0241996507856 -15 10
0.00018 -4.9179470289e-06 -0.0295258730905 -15 10
0.00019 -5.26181157629e-06 -0.0343864547388 -15 10
0.0002 -5.64885899083e-06 -0.0387047414545 -15 10
0.00021 -6.07298530359e-06 -0.0424126312763 -15 10
0.00022 -6.52750178926e-06 -0.0454516485668 -15 10
0.00023 -7.00524045134e-06 -0.0477738662079 -15 10
0.00024 -7.49866706574e-06 -0.0493426614402 -15 10
0.00025 -8e-06 -0.0501332934257 -15 10
0.00026 -8.50133293426e-06 -0.0501332934257 -15 10
0.00027 -8.99475954866e-06 -0.0493426614402 -15 10
0.00028 -9.47249821074e-06 -0.0477738662079 -15 10
0.00029 -9.92701469641e-06 -0.0454516485668 -15 10
0.0003 -1.03511410092e-05 -0.0424126312763 -15 10
0.00031 -1.07381884237e-05 -0.0387047414545 -15 10
0.00032 -1.10820529711e-05 -0.0343864547388 -15 10
0.00033 -1.1377311702e-05 -0.0295258730905 -15 10
0.00034 -1.16193082099e-05 -0.0241996507856 -15 10
0.00035 -1.18042260652e-05 -0.0184917855317 -15 10
0.00036 -1.19291490029e-05 -0.0124922937734 -15 10
0.00037 -1.19921069137e-05 -0.00629579107983 -15 10
0.00038 -1.19921069137e-05 0 0 10
0.00039 -1.19291490029e-05 0.00629579107983 15 10
0.0004 -1.18042260652e-05 0.0124922937734 15 10
0.00041 -1.16193082099e-05 0.0184917855317 15 10
0.00042 -1.1377311702e-05 0.0241996507856 15 10
0.00043 -1.10820529711e-05 0.0295258730905 15 10
0.00044 -1.07381884237e-05 0.0343864547388 15 10
0.00045 -1.03511410092e-05 0.0387047414545 15 10
0.00046 -9.92701469641e-06 0.0424126312763 15 10
0.00047 -9.47249821074e-06 0.0454516485668 15 10
0.00048 -8.99475954866e-06 0.0477738662079 15 10
0.00049 -8.50133293426e-06 0.0493426614402 15 10
0.0005 -8e-06 0.0501332934257 15 9
0.00051 -7.49866706574e-06 0.0501332934257 15 9
0.00052 -7.00524045134e-06 0.0493426614402 15 9
0.00053 -6.52750178926e-06 0.0477738662079 15 9
0.00054 -6.07298530359e-06 0.0454516485668 15 9
0.00055 -5.64885899083e-06 0.0424126312763 15 9
0.00056 -5.26181157629e-06 0.0387047414545 15 9
0.00057 -4.9179470289e-06 0.0343864547388 15 9
0.00058 -4.62268829799e-06 0.0295258730905 15 9
0.00059 -4.38069179014e-06 0.0241996507856 15 9
0.0006 -4.19577393482e-06 0.0184917855317 15 9
0.00061 -4.07085099709e-06 0.0124922937734 15 9
0.00062 -4.00789308629e-06 0.00629579107983 10 9
0.00063 -4.00789308629e-06 0 0 9
0.00064 -4.07085099709e-06 -0.00629579107983 -10 9
0.00065 -4.19577393482e-06 -0.0124922937734 -15 9
0.00066 -4.38069179014e-06 -0.0184917855317 -15 9
0.00067 -4.62268829799e-06 -0.0241996507856 -15 9
0.00068 -4.9179470289e-06 -0.0295258730905 -15 9
0.00069 -5.26181157629e-06 -0.0343864547388 -15 9
0.0007 -5.64885899083e-06 -0.0387047414545 -15 9
0.00071 -6.07298530359e-06 -0.0424126312763 -15 9
0.00072 -6.52750178926e-06 -0.0454516485668 -15 9
0.00073 -7.00524045134e-06 -0.0477738662079 -15 9
0.00074 -7.49866706574e-06 -0.0493426614402 -15 9
0.00075 -8e-06 -0.0501332934257 -15 9
0.00076 -8.50133293426e-06 -0.0501332934257 -15 9
0.00077 -8.99475954866e-06 -0.0493426614402 -15 9
0.00078 -9.47249821074e-06 -0.0477738662079 -15 9
0.00079 -9.92701469641e-06 -0.0454516485668 -15 9
0.0008 -1.03511410092e-05 -0.0424126312763 -15 9
0.00081 -1.07381884237e-05 -0.0387047414545 -15 9
0.00082 -1.10820529711e-05 -0.0343864547388 -15 9
0.00083 -1.1377311702e-05 -0.0295258730905 -15 9
0.00084 -1.16193082099e-05 -0.0241996507856 -15 9
0.00085 -1.18042260652e-05 -0.0184917855317 -15 9
0.00086 -1.19291490029e-05 -0.0124922937734 -15 9
0.00087 -1.19921069137e-05 -0.00629579107983 -10 9
0.00088 -1.19921069137e-05 0 0 9
0.00089 -1.19291490029e-05 0.00629579107983 10 9
0.0009 -1.18042260652e-05 0.0124922937734 15 9
0.00091 -1.16193082099e-05 0.0184917855317 15 9
0.00092 -1.1377311702e-05 0.0241996507856 15 9
0.00093 -1.10820529711e-05 0.0295258730905 15 9
0.00094 -1.07381884237e-05 0.0343864547388 15 9
0.00095 -1.03511410092e-05 0.0387047414545 15 9
0.00096 -9.92701469641e-06 0.0424126312763 15 9
