%time in out1 out2
0 0 0 0
0.01 1 0.326858469244 0.0434941108054
0.02 1 0.585295622358 0.0839446491193
0.03 1 0.73557800561 0.118700265741
0.04 1 0.823051051199 0.148495719559
0.05 1 0.874044649955 0.173972678211
0.06 1 0.90384753286 0.195691491679
0.07 1 0.921337490273 0.214141477026
0.08 1 0.931669848528 0.229749902535
0.09 1 0.937838499845 0.242889835744
0.1 1 0.941582295477 0.253886999022
0.11 1 0.943911332753 0.263025758203
0.12 1 0.945412538528 0.270554353906
0.13 1 0.946427103961 0.276689471308
0.14 1 0.94715351138 0.281620232026
0.15 1 0.947707357088 0.285511681188
0.16 1 0.948156088223 0.28850783353
0.17 1 0.948539173681 0.290734334282
0.18 1 0.948879817459 0.292300783558
0.19 1 0.94919176111 0.293302766802
0.2 1 0.949483234687 0.293823628454
0.21 1 0.949759251916 0.29393602132
0.22 1 0.950022943898 0.29370326
0.23 1 0.950276334478 0.293180503162
0.24 1 0.950520791359 0.292415786289
0.25 1 0.950757288893 0.291450923825
0.26 1 0.950986561459 0.290322297234
0.27 1 0.951209193266 0.289061543378
0.28 1 0.951425671196 0.287696155854
0.29 1 0.951636416138 0.286250010265
0.3 1 0.951841801791 0.28474382306
0.31 1 0.952042166151 0.283195552348
0.32 1 0.952237818722 0.281620748008
0.33 1 0.952429045197 0.28003285752
0.34 1 0.952616110646 0.278443493113
0.35 1 0.952799261803 0.276862665119
0.36 1 0.952978728806 0.27529898581
0.37 1 0.95315472659 0.273759847449
0.38 1 0.953327456052 0.272251577816
0.39 1 0.953497105066 0.270779576055
0.4 1 0.953663849383 0.269348431341
0.41 1 0.953827853449 0.267962026521
0.42 1 0.953989271155 0.266623628648
0.43 1 0.954148246529 0.265335968056
0.44 1 0.954304914375 0.264101307424
0.45 1 0.954459400876 0.262921502098
0.46 1 0.954611824148 0.261798052781
0.47 1 0.954762294763 0.260732151543
0.48 1 0.954910916232 0.259724722012
0.49 1 0.955057785464 0.258776454469
0.5 1 0.955202993189 0.257887836498
0.51 1 0.955346624357 0.257059179754
0.52 1 0.955488758508 0.256290643329
0.53 1 0.955629470122 0.255582254169
0.54 1 0.955768828947 0.254933924886
0.55 1 0.955906900298 0.254345469319
0.56 1 0.956043745348 0.253816616115
0.57 1 0.956179421389 0.253347020584
0.58 1 0.956313982088 0.252936275051
0.59 1 0.956447477715 0.252583917884
0.6 1 0.956579955364 0.252289441374
0.61 1 0.956711459158 0.25205229862
0.62 1 0.956842030437 0.251871909517
0.63 1 0.956971707941 0.251747665999
0.64 1 0.957100527975 0.251678936592
0.65 1 0.957228524567 0.2516650704
0.66 1 0.957355729611 0.251705400567
0.67 1 0.957482173009 0.251799247302
0.68 1 0.957607882797 0.251945920503
0.69 1 0.957732885264 0.252144722056
0.7 1 0.957857205065 0.252394947821
0.71 1 0.957980865328 0.252695889372
0.72 1 0.958103887749 0.253046835496
0.73 1 0.958226292685 0.25344707351
0.74 1 0.958348099243 0.253895890388
0.75 1 0.958469325356 0.254392573753
0.76 1 0.958589987862 0.254936412725
0.77 1 0.95871010257 0.255526698659
0.78 1 0.958829684331 0.256162725783
0.79 1 0.958948747098 0.256843791747
0.8 1 0.959067303982 0.257569198092
0.81 1 0.959185367306 0.258338250659
0.82 1 0.959302948658 0.259150259935
0.83 1 0.959420058937 0.260004541347
0.84 1 0.959536708397 0.260900415515
0.85 1 0.959652906688 0.261837208464
0.86 1 0.959768662896 0.262814251803
0.87 1 0.959883985576 0.263830882871
0.88 1 0.959998882792 0.264886444866
0.89 1 0.960113362142 0.265980286941
0.9 1 0.960227430792 0.267111764286
0.91 1 0.960341095502 0.268280238192
0.92 1 0.960454362652 0.269485076103
0.93 1 0.960567238267 0.270725651649
0.94 1 0.96067972804 0.27200134467
0.95 1 0.960791837352 0.273311541235
0.96 1 0.960903571291 0.274655633646
0.97 1 0.961014934676 0.276033020439
0.98 1 0.961125932067 0.277443106372
0.99 1 0.961236567786 0.27888530242
1 1 0.961346845931 0.280359025751
1.01 1 0.961456770391 0.281863699704
1.02 1 0.961566344858 0.28339875377
1.03 1 0.96167557284 0.284963623556
1.04 1 0.961784457675 0.286557750757
1.05 1 0.961893002536 0.288180583124
1.06 1 0.962001210448 0.289831574425
1.07 1 0.962109084295 0.29151018441
1.08 1 0.962216626825 0.293215878771
1.09 1 0.962323840667 0.294948129106
1.1 1 0.962430728328 0.296706412871
1.11 1 0.962537292212 0.298490213343
1.12 1 0.962643534617 0.30029901958
1.13 1 0.962749457747 0.30213232637
1.14 1 0.962855063715 0.303989634196
1.15 1 0.962960354552 0.305870449186
1.16 1 0.963065332209 0.307774283072
1.17 1 0.963169998563 0.309700653144
1.18 1 0.963274355423 0.311649082207
1.19 1 0.963378404533 0.313619098535
1.2 1 0.963482147575 0.315610235828
1.21 1 0.963585586174 0.317622033164
1.22 1 0.963688721903 0.319654034958
1.23 1 0.963791556283 0.321705790915
1.24 1 0.963894090789 0.323776855989
1.25 1 0.963996326852 0.325866790334
1.26 1 0.96409826586 0.327975159261
1.27 1 0.964199909164 0.330101533196
1.28 1 0.964301258075 0.332245487637
1.29 1 0.964402313874 0.334406603104
1.3 1 0.964503077806 0.336584465105
1.31 1 0.964603551088 0.338778664083
1.32 1 0.964703734907 0.34098879538
1.33 1 0.964803630424 0.34321445919
1.34 1 0.964903238773 0.345455260521
1.35 1 0.965002561066 0.347710809147
1.36 1 0.965101598393 0.34998071957
1.37 1 0.965200351821 0.352264610976
1.38 1 0.965298822397 0.354562107195
1.39 1 0.965397011152 0.356872836659
