%time vout iout vsupply vref
0 3.16377839756e-09 1.31824099898e-09 42 4.8
7.777e-07 6.27715559643e-09 2.61548149851e-09 42 4.8
1.5554e-06 0.000492103821218 0.000205043258841 42 4.8
2.3331e-06 0.001226323483 0.000510968117915 42 4.8
3.1108e-06 0.00243706087894 0.00101544203289 42 4.8
3.8885e-06 0.00410910659465 0.00171212774777 42 4.8
4.6662e-06 0.00622773071367 0.00259488779736 42 4.8
5.4439e-06 0.00877866770287 0.00365777820953 42 4.8
6.2216e-06 0.0117481017742 0.00489504240593 42 4.8
6.9993e-06 0.0151226527082 0.00630110529508 42 4.8
7.777e-06 0.0188893621236 0.0078705675515 42 4.8
8.5547e-06 0.0230356801808 0.00959820007533 42 4.8
9.3324e-06 0.0275494527035 0.0114789386265 42 4.8
1.01101e-05 0.0324189087069 0.0135078786279 42 4.8
1.08878e-05 0.0376326483188 0.0156802701328 42 4.8
1.16655e-05 0.0431796310815 0.0179915129506 42 4.8
1.24432e-05 0.0490491646221 0.0204371519259 42 4.8
1.32209e-05 0.0552308936809 0.023012872367 42 4.8
1.39986e-05 0.0617147894842 0.0257144956184 42 4.8
1.47763e-05 0.0684911394536 0.0285379747723 42 4.8
1.5554e-05 0.0755505372385 0.031479390516 42 4.8
1.63317e-05 0.0828838730633 0.0345349471097 42 4.8
1.71094e-05 0.0904823243791 0.0377009684913 42 4.8
1.78871e-05 0.0983373468096 0.040973894504 42 4.8
1.86648e-05 0.106440665382 0.0443502772426 42 4.8
1.94425e-05 0.114784266037 0.0478267775155 42 4.8
2.02202e-05 0.123360387402 0.0514001614173 42 4.8
2.09979e-05 0.132161512825 0.0550672970105 42 4.8
2.17756e-05 0.141180362666 0.0588251511109 42 4.8
2.25533e-05 0.15040988682 0.062670786175 42 4.8
2.3331e-05 0.159716188174 0.0665484117393 42 4.8
2.41087e-05 0.168842569048 0.0703510704368 42 4.8
2.48864e-05 0.17766758868 0.0740281619499 42 4.8
2.56641e-05 0.186200751657 0.0775836465238 42 4.8
2.64418e-05 0.194451262966 0.081021359569 42 4.8
2.72195e-05 0.202428037432 0.0843450155966 42 4.8
2.79972e-05 0.21013970887 0.0875582120294 42 4.8
2.87749e-05 0.217594638941 0.090664432892 42 4.8
2.95526e-05 0.224800925727 0.0936670523864 42 4.8
3.03303e-05 0.231766412046 0.0965693383527 42 4.8
3.1108e-05 0.238498693494 0.0993744556226 42 4.8
3.18857e-05 0.245005126238 0.102085469266 42 4.8
3.26634e-05 0.251292834565 0.104705347736 42 4.8
3.34411e-05 0.257368718191 0.107236965913 42 4.8
3.42188e-05 0.263239459338 0.109683108058 42 4.8
3.49965e-05 0.268911529592 0.112046470663 42 4.8
3.57742e-05 0.274391196541 0.114329665225 42 4.8
3.65519e-05 0.279684530206 0.116535220919 42 4.8
3.73296e-05 0.28479740927 0.118665587196 42 4.8
3.81073e-05 0.289735527106 0.120723136294 42 4.8
3.8885e-05 0.294504397621 0.122710165675 42 4.8
3.96627e-05 0.299109360913 0.124628900381 42 4.8
4.04404e-05 0.303682658059 0.126534440858 42 4.8
4.12181e-05 0.308479382972 0.128533076238 42 4.8
4.19958e-05 0.313619423272 0.130674759697 42 4.8
4.27735e-05 0.319091770252 0.132954904271 42 4.8
4.35512e-05 0.324885762289 0.135369067621 42 4.8
4.43289e-05 0.330991073906 0.137912947461 42 4.8
4.51066e-05 0.33739770517 0.140582377154 42 4.8
4.58843e-05 0.344095971434 0.143373321431 42 4.8
4.6662e-05 0.351076493399 0.14628187225 42 4.8
4.74397e-05 0.358330187488 0.149304244787 42 4.8
4.82174e-05 0.365848256522 0.152436773551 42 4.8
4.89951e-05 0.373622180698 0.155675908624 42 4.8
4.97728e-05 0.381516639529 0.15896526647 42 4.8
5.05505e-05 0.389273556828 0.162197315345 42 4.8
5.13282e-05 0.396770156779 0.165320898658 42 4.8
5.21059e-05 0.404014650999 0.168339437916 42 4.8
5.28836e-05 0.41101499226 0.171256246775 42 4.8
5.36613e-05 0.417778882644 0.174074534435 42 4.8
5.4439e-05 0.42431378145 0.176797408937 42 4.8
5.52167e-05 0.430626912845 0.179427880352 42 4.8
5.59944e-05 0.436725273275 0.181968863865 42 4.8
5.67721e-05 0.442615638645 0.184423182769 42 4.8
5.75498e-05 0.448304571267 0.186793571361 42 4.8
5.83275e-05 0.453798426599 0.18908267775 42 4.8
5.91052e-05 0.45910335976 0.191293066567 42 4.8
5.98829e-05 0.464225331847 0.193427221603 42 4.8
6.06606e-05 0.46917011605 0.195487548354 42 4.8
